時間,成交價,成交張數
2024-05-19 13:30:00,516.0,993.0
2024-05-19 13:29:55,512.0,0.0
2024-05-19 13:29:50,512.0,0.0
2024-05-19 13:29:45,512.0,0.0
2024-05-19 13:29:40,512.0,0.0
2024-05-19 13:29:35,512.0,0.0
2024-05-19 13:29:30,512.0,0.0
2024-05-19 13:29:25,512.0,0.0
2024-05-19 13:29:20,512.0,0.0
2024-05-19 13:29:15,512.0,0.0
2024-05-19 13:29:10,512.0,0.0
2024-05-19 13:29:05,512.0,0.0
2024-05-19 13:29:00,512.0,0.0
2024-05-19 13:28:55,512.0,0.0
2024-05-19 13:28:50,512.0,0.0
2024-05-19 13:28:45,512.0,0.0
2024-05-19 13:28:40,512.0,0.0
2024-05-19 13:28:35,512.0,0.0
2024-05-19 13:28:30,512.0,0.0
2024-05-19 13:28:25,512.0,0.0
2024-05-19 13:28:20,512.0,0.0
2024-05-19 13:28:15,512.0,0.0
2024-05-19 13:28:10,512.0,0.0
2024-05-19 13:28:05,512.0,0.0
2024-05-19 13:28:00,512.0,0.0
2024-05-19 13:27:55,512.0,0.0
2024-05-19 13:27:50,512.0,0.0
2024-05-19 13:27:45,512.0,0.0
2024-05-19 13:27:40,512.0,0.0
2024-05-19 13:27:35,512.0,0.0
2024-05-19 13:27:30,512.0,0.0
2024-05-19 13:27:25,512.0,0.0
2024-05-19 13:27:20,512.0,0.0
2024-05-19 13:27:15,512.0,0.0
2024-05-19 13:27:10,512.0,0.0
2024-05-19 13:27:05,512.0,0.0
2024-05-19 13:27:00,512.0,0.0
2024-05-19 13:26:55,512.0,0.0
2024-05-19 13:26:50,512.0,0.0
2024-05-19 13:26:45,512.0,0.0
2024-05-19 13:26:40,512.0,0.0
2024-05-19 13:26:35,512.0,0.0
2024-05-19 13:26:30,512.0,0.0
2024-05-19 13:26:25,512.0,0.0
2024-05-19 13:26:20,512.0,0.0
2024-05-19 13:26:15,512.0,0.0
2024-05-19 13:26:10,512.0,0.0
2024-05-19 13:26:05,512.0,0.0
2024-05-19 13:26:00,512.0,0.0
2024-05-19 13:25:55,512.0,0.0
2024-05-19 13:25:50,512.0,0.0
2024-05-19 13:25:45,512.0,0.0
2024-05-19 13:25:40,512.0,0.0
2024-05-19 13:25:35,512.0,0.0
2024-05-19 13:25:30,512.0,0.0
2024-05-19 13:25:25,512.0,0.0
2024-05-19 13:25:20,512.0,0.0
2024-05-19 13:25:15,512.0,0.0
2024-05-19 13:25:10,512.0,0.0
2024-05-19 13:25:05,512.0,0.0
2024-05-19 13:25:00,512.0,0.0
2024-05-19 13:24:55,512.0,2.0
2024-05-19 13:24:50,512.0,1.0
2024-05-19 13:24:45,513.0,0.0
2024-05-19 13:24:40,513.0,0.0
2024-05-19 13:24:35,513.0,0.0
2024-05-19 13:24:30,513.0,1.0
2024-05-19 13:24:25,513.0,3.0
2024-05-19 13:24:20,512.0,1.0
2024-05-19 13:24:15,512.0,10.0
2024-05-19 13:24:10,512.0,1.0
2024-05-19 13:24:05,513.0,0.0
2024-05-19 13:24:00,513.0,3.0
2024-05-19 13:23:55,513.0,16.0
2024-05-19 13:23:50,511.0,6.0
2024-05-19 13:23:45,512.0,4.0
2024-05-19 13:23:40,513.0,2.0
2024-05-19 13:23:35,512.0,2.0
2024-05-19 13:23:30,512.0,3.0
2024-05-19 13:23:25,513.0,3.0
2024-05-19 13:23:20,512.0,3.0
2024-05-19 13:23:15,512.0,2.0
2024-05-19 13:23:10,512.0,10.0
2024-05-19 13:23:05,513.0,1.0
2024-05-19 13:23:00,512.0,2.0
2024-05-19 13:22:55,513.0,1.0
2024-05-19 13:22:50,513.0,1.0
2024-05-19 13:22:45,512.0,2.0
2024-05-19 13:22:40,513.0,1.0
2024-05-19 13:22:35,513.0,2.0
2024-05-19 13:22:30,513.0,1.0
2024-05-19 13:22:25,513.0,0.0
2024-05-19 13:22:20,513.0,1.0
2024-05-19 13:22:15,512.0,2.0
2024-05-19 13:22:10,512.0,0.0
2024-05-19 13:22:05,512.0,3.0
2024-05-19 13:22:00,512.0,2.0
2024-05-19 13:21:55,513.0,0.0
2024-05-19 13:21:50,513.0,3.0
2024-05-19 13:21:45,513.0,2.0
2024-05-19 13:21:40,512.0,0.0
2024-05-19 13:21:35,512.0,3.0
2024-05-19 13:21:30,513.0,1.0
2024-05-19 13:21:25,513.0,1.0
2024-05-19 13:21:20,513.0,0.0
2024-05-19 13:21:15,513.0,4.0
2024-05-19 13:21:10,512.0,3.0
2024-05-19 13:21:05,513.0,0.0
2024-05-19 13:21:00,513.0,1.0
2024-05-19 13:20:55,513.0,1.0
2024-05-19 13:20:50,513.0,0.0
2024-05-19 13:20:45,513.0,13.0
2024-05-19 13:20:40,514.0,1.0
2024-05-19 13:20:35,514.0,0.0
2024-05-19 13:20:30,514.0,1.0
2024-05-19 13:20:25,514.0,2.0
2024-05-19 13:20:20,514.0,1.0
2024-05-19 13:20:15,514.0,0.0
2024-05-19 13:20:10,514.0,1.0
2024-05-19 13:20:05,514.0,1.0
2024-05-19 13:20:00,514.0,0.0
2024-05-19 13:19:55,514.0,2.0
2024-05-19 13:19:50,514.0,8.0
2024-05-19 13:19:45,513.0,0.0
2024-05-19 13:19:40,513.0,2.0
2024-05-19 13:19:35,514.0,2.0
2024-05-19 13:19:30,514.0,1.0
2024-05-19 13:19:25,514.0,2.0
2024-05-19 13:19:20,514.0,1.0
2024-05-19 13:19:15,514.0,0.0
2024-05-19 13:19:10,514.0,1.0
2024-05-19 13:19:05,514.0,2.0
2024-05-19 13:19:00,514.0,1.0
2024-05-19 13:18:55,514.0,0.0
2024-05-19 13:18:50,514.0,1.0
2024-05-19 13:18:45,514.0,1.0
2024-05-19 13:18:40,514.0,0.0
2024-05-19 13:18:35,514.0,1.0
2024-05-19 13:18:30,513.0,2.0
2024-05-19 13:18:25,514.0,0.0
2024-05-19 13:18:20,514.0,2.0
2024-05-19 13:18:15,514.0,1.0
2024-05-19 13:18:10,514.0,1.0
2024-05-19 13:18:05,513.0,15.0
2024-05-19 13:18:00,513.0,1.0
2024-05-19 13:17:55,513.0,2.0
2024-05-19 13:17:50,514.0,2.0
2024-05-19 13:17:45,513.0,1.0
2024-05-19 13:17:40,513.0,10.0
2024-05-19 13:17:35,513.0,16.0
2024-05-19 13:17:30,513.0,1.0
2024-05-19 13:17:25,513.0,3.0
2024-05-19 13:17:20,513.0,7.0
2024-05-19 13:17:15,513.0,15.0
2024-05-19 13:17:10,513.0,1.0
2024-05-19 13:17:05,512.0,2.0
2024-05-19 13:17:00,513.0,1.0
2024-05-19 13:16:55,513.0,1.0
2024-05-19 13:16:50,513.0,16.0
2024-05-19 13:16:45,512.0,1.0
2024-05-19 13:16:40,513.0,1.0
2024-05-19 13:16:35,513.0,1.0
2024-05-19 13:16:30,512.0,1.0
2024-05-19 13:16:25,513.0,1.0
2024-05-19 13:16:20,513.0,2.0
2024-05-19 13:16:15,513.0,0.0
2024-05-19 13:16:10,513.0,1.0
2024-05-19 13:16:05,513.0,7.0
2024-05-19 13:16:00,513.0,0.0
2024-05-19 13:15:55,513.0,1.0
2024-05-19 13:15:50,513.0,1.0
2024-05-19 13:15:45,513.0,2.0
2024-05-19 13:15:40,513.0,2.0
2024-05-19 13:15:35,513.0,1.0
2024-05-19 13:15:30,513.0,1.0
2024-05-19 13:15:25,513.0,0.0
2024-05-19 13:15:20,513.0,1.0
2024-05-19 13:15:15,512.0,2.0
2024-05-19 13:15:10,512.0,5.0
2024-05-19 13:15:05,513.0,1.0
2024-05-19 13:15:00,512.0,3.0
2024-05-19 13:14:55,512.0,5.0
2024-05-19 13:14:50,513.0,0.0
2024-05-19 13:14:45,513.0,4.0
2024-05-19 13:14:40,513.0,0.0
2024-05-19 13:14:35,513.0,1.0
2024-05-19 13:14:30,513.0,2.0
2024-05-19 13:14:25,512.0,3.0
2024-05-19 13:14:20,512.0,6.0
2024-05-19 13:14:15,513.0,1.0
2024-05-19 13:14:10,513.0,3.0
2024-05-19 13:14:05,512.0,2.0
2024-05-19 13:14:00,513.0,1.0
2024-05-19 13:13:55,512.0,5.0
2024-05-19 13:13:50,513.0,0.0
2024-05-19 13:13:45,513.0,1.0
2024-05-19 13:13:40,513.0,2.0
2024-05-19 13:13:35,513.0,1.0
2024-05-19 13:13:30,513.0,0.0
2024-05-19 13:13:25,513.0,1.0
2024-05-19 13:13:20,513.0,1.0
2024-05-19 13:13:15,512.0,2.0
2024-05-19 13:13:10,512.0,3.0
2024-05-19 13:13:05,512.0,3.0
2024-05-19 13:13:00,512.0,2.0
2024-05-19 13:12:55,512.0,1.0
2024-05-19 13:12:50,512.0,1.0
2024-05-19 13:12:45,512.0,0.0
2024-05-19 13:12:40,512.0,1.0
2024-05-19 13:12:35,512.0,1.0
2024-05-19 13:12:30,512.0,3.0
2024-05-19 13:12:25,512.0,0.0
2024-05-19 13:12:20,512.0,1.0
2024-05-19 13:12:15,512.0,1.0
2024-05-19 13:12:10,512.0,0.0
2024-05-19 13:12:05,512.0,1.0
2024-05-19 13:12:00,512.0,1.0
2024-05-19 13:11:55,512.0,1.0
2024-05-19 13:11:50,512.0,1.0
2024-05-19 13:11:45,512.0,1.0
2024-05-19 13:11:40,512.0,1.0
2024-05-19 13:11:35,512.0,1.0
2024-05-19 13:11:30,512.0,1.0
2024-05-19 13:11:25,512.0,0.0
2024-05-19 13:11:20,512.0,1.0
2024-05-19 13:11:15,512.0,1.0
2024-05-19 13:11:10,512.0,2.0
2024-05-19 13:11:05,512.0,0.0
2024-05-19 13:11:00,512.0,1.0
2024-05-19 13:10:55,512.0,1.0
2024-05-19 13:10:50,512.0,0.0
2024-05-19 13:10:45,512.0,3.0
2024-05-19 13:10:40,512.0,2.0
2024-05-19 13:10:35,512.0,0.0
2024-05-19 13:10:30,512.0,1.0
2024-05-19 13:10:25,512.0,4.0
2024-05-19 13:10:20,512.0,1.0
2024-05-19 13:10:15,512.0,0.0
2024-05-19 13:10:10,512.0,1.0
2024-05-19 13:10:05,512.0,1.0
2024-05-19 13:10:00,512.0,1.0
2024-05-19 13:09:55,512.0,1.0
2024-05-19 13:09:50,511.0,2.0
2024-05-19 13:09:45,512.0,1.0
2024-05-19 13:09:40,512.0,1.0
2024-05-19 13:09:35,512.0,1.0
2024-05-19 13:09:30,512.0,0.0
2024-05-19 13:09:25,512.0,1.0
2024-05-19 13:09:20,512.0,1.0
2024-05-19 13:09:15,512.0,1.0
2024-05-19 13:09:10,512.0,0.0
2024-05-19 13:09:05,512.0,1.0
2024-05-19 13:09:00,512.0,1.0
2024-05-19 13:08:55,512.0,0.0
2024-05-19 13:08:50,512.0,1.0
2024-05-19 13:08:45,512.0,1.0
2024-05-19 13:08:40,512.0,0.0
2024-05-19 13:08:35,512.0,2.0
2024-05-19 13:08:30,512.0,2.0
2024-05-19 13:08:25,513.0,0.0
2024-05-19 13:08:20,513.0,2.0
2024-05-19 13:08:15,512.0,34.0
2024-05-19 13:08:10,513.0,0.0
2024-05-19 13:08:05,513.0,2.0
2024-05-19 13:08:00,513.0,1.0
2024-05-19 13:07:55,513.0,3.0
2024-05-19 13:07:50,513.0,1.0
2024-05-19 13:07:45,513.0,1.0
2024-05-19 13:07:40,513.0,1.0
2024-05-19 13:07:35,513.0,5.0
2024-05-19 13:07:30,513.0,1.0
2024-05-19 13:07:25,513.0,4.0
2024-05-19 13:07:20,513.0,2.0
2024-05-19 13:07:15,513.0,2.0
2024-05-19 13:07:10,513.0,1.0
2024-05-19 13:07:05,513.0,1.0
2024-05-19 13:07:00,513.0,1.0
2024-05-19 13:06:55,513.0,1.0
2024-05-19 13:06:50,513.0,0.0
2024-05-19 13:06:45,513.0,1.0
2024-05-19 13:06:40,513.0,1.0
2024-05-19 13:06:35,513.0,1.0
2024-05-19 13:06:30,513.0,0.0
2024-05-19 13:06:25,513.0,4.0
2024-05-19 13:06:20,513.0,1.0
2024-05-19 13:06:15,513.0,0.0
2024-05-19 13:06:10,513.0,1.0
2024-05-19 13:06:05,513.0,1.0
2024-05-19 13:06:00,513.0,0.0
2024-05-19 13:05:55,513.0,4.0
2024-05-19 13:05:50,513.0,1.0
2024-05-19 13:05:45,513.0,1.0
2024-05-19 13:05:40,513.0,0.0
2024-05-19 13:05:35,513.0,1.0
2024-05-19 13:05:30,513.0,6.0
2024-05-19 13:05:25,513.0,1.0
2024-05-19 13:05:20,513.0,3.0
2024-05-19 13:05:15,513.0,1.0
2024-05-19 13:05:10,513.0,2.0
2024-05-19 13:05:05,513.0,1.0
2024-05-19 13:05:00,513.0,1.0
2024-05-19 13:04:55,513.0,0.0
2024-05-19 13:04:50,513.0,8.0
2024-05-19 13:04:45,513.0,2.0
2024-05-19 13:04:40,513.0,1.0
2024-05-19 13:04:35,513.0,0.0
2024-05-19 13:04:30,513.0,1.0
2024-05-19 13:04:25,512.0,2.0
2024-05-19 13:04:20,513.0,0.0
2024-05-19 13:04:15,513.0,1.0
2024-05-19 13:04:10,513.0,1.0
2024-05-19 13:04:05,513.0,1.0
2024-05-19 13:04:00,513.0,4.0
2024-05-19 13:03:55,513.0,1.0
2024-05-19 13:03:50,513.0,1.0
2024-05-19 13:03:45,513.0,2.0
2024-05-19 13:03:40,513.0,1.0
2024-05-19 13:03:35,513.0,1.0
2024-05-19 13:03:30,513.0,10.0
2024-05-19 13:03:25,513.0,4.0
2024-05-19 13:03:20,512.0,0.0
2024-05-19 13:03:15,512.0,135.0
2024-05-19 13:03:10,511.0,1.0
2024-05-19 13:03:05,511.0,0.0
2024-05-19 13:03:00,511.0,6.0
2024-05-19 13:02:55,511.0,1.0
2024-05-19 13:02:50,511.0,2.0
2024-05-19 13:02:45,511.0,0.0
2024-05-19 13:02:40,511.0,26.0
2024-05-19 13:02:35,511.0,6.0
2024-05-19 13:02:30,511.0,0.0
2024-05-19 13:02:25,511.0,3.0
2024-05-19 13:02:20,511.0,43.0
2024-05-19 13:02:15,511.0,1.0
2024-05-19 13:02:10,510.0,2.0
2024-05-19 13:02:05,511.0,1.0
2024-05-19 13:02:00,511.0,1.0
2024-05-19 13:01:55,511.0,0.0
2024-05-19 13:01:50,511.0,2.0
2024-05-19 13:01:45,511.0,1.0
2024-05-19 13:01:40,511.0,2.0
2024-05-19 13:01:35,511.0,2.0
2024-05-19 13:01:30,511.0,1.0
2024-05-19 13:01:25,511.0,4.0
2024-05-19 13:01:20,511.0,1.0
2024-05-19 13:01:15,511.0,1.0
2024-05-19 13:01:10,511.0,1.0
2024-05-19 13:01:05,511.0,0.0
2024-05-19 13:01:00,511.0,1.0
2024-05-19 13:00:55,511.0,1.0
2024-05-19 13:00:50,511.0,1.0
2024-05-19 13:00:45,511.0,3.0
2024-05-19 13:00:40,511.0,1.0
2024-05-19 13:00:35,511.0,0.0
2024-05-19 13:00:30,511.0,1.0
2024-05-19 13:00:25,511.0,1.0
2024-05-19 13:00:20,511.0,0.0
2024-05-19 13:00:15,511.0,1.0
2024-05-19 13:00:10,511.0,1.0
2024-05-19 13:00:05,511.0,2.0
2024-05-19 13:00:00,511.0,0.0
2024-05-19 12:59:55,511.0,1.0
2024-05-19 12:59:50,511.0,1.0
2024-05-19 12:59:45,511.0,0.0
2024-05-19 12:59:40,511.0,1.0
2024-05-19 12:59:35,511.0,1.0
2024-05-19 12:59:30,511.0,0.0
2024-05-19 12:59:25,511.0,1.0
2024-05-19 12:59:20,511.0,1.0
2024-05-19 12:59:15,511.0,1.0
2024-05-19 12:59:10,511.0,4.0
2024-05-19 12:59:05,511.0,1.0
2024-05-19 12:59:00,511.0,0.0
2024-05-19 12:58:55,511.0,1.0
2024-05-19 12:58:50,511.0,1.0
2024-05-19 12:58:45,511.0,1.0
2024-05-19 12:58:40,511.0,1.0
2024-05-19 12:58:35,511.0,2.0
2024-05-19 12:58:30,511.0,4.0
2024-05-19 12:58:25,511.0,0.0
2024-05-19 12:58:20,511.0,1.0
2024-05-19 12:58:15,511.0,1.0
2024-05-19 12:58:10,510.0,0.0
2024-05-19 12:58:05,510.0,5.0
2024-05-19 12:58:00,510.0,1.0
2024-05-19 12:57:55,510.0,1.0
2024-05-19 12:57:50,510.0,0.0
2024-05-19 12:57:45,510.0,2.0
2024-05-19 12:57:40,510.0,1.0
2024-05-19 12:57:35,510.0,1.0
2024-05-19 12:57:30,510.0,1.0
2024-05-19 12:57:25,510.0,2.0
2024-05-19 12:57:20,510.0,0.0
2024-05-19 12:57:15,510.0,1.0
2024-05-19 12:57:10,510.0,2.0
2024-05-19 12:57:05,510.0,0.0
2024-05-19 12:57:00,510.0,1.0
2024-05-19 12:56:55,510.0,1.0
2024-05-19 12:56:50,510.0,1.0
2024-05-19 12:56:45,510.0,5.0
2024-05-19 12:56:40,510.0,10.0
2024-05-19 12:56:35,510.0,2.0
2024-05-19 12:56:30,510.0,0.0
2024-05-19 12:56:25,510.0,1.0
2024-05-19 12:56:20,510.0,1.0
2024-05-19 12:56:15,510.0,0.0
2024-05-19 12:56:10,510.0,1.0
2024-05-19 12:56:05,510.0,1.0
2024-05-19 12:56:00,511.0,0.0
2024-05-19 12:55:55,511.0,1.0
2024-05-19 12:55:50,511.0,1.0
2024-05-19 12:55:45,511.0,0.0
2024-05-19 12:55:40,511.0,1.0
2024-05-19 12:55:35,511.0,1.0
2024-05-19 12:55:30,510.0,11.0
2024-05-19 12:55:25,511.0,0.0
2024-05-19 12:55:20,511.0,2.0
2024-05-19 12:55:15,511.0,1.0
2024-05-19 12:55:10,511.0,0.0
2024-05-19 12:55:05,511.0,1.0
2024-05-19 12:55:00,511.0,1.0
2024-05-19 12:54:55,511.0,0.0
2024-05-19 12:54:50,511.0,1.0
2024-05-19 12:54:45,511.0,1.0
2024-05-19 12:54:40,511.0,1.0
2024-05-19 12:54:35,511.0,0.0
2024-05-19 12:54:30,511.0,1.0
2024-05-19 12:54:25,511.0,0.0
2024-05-19 12:54:20,511.0,1.0
2024-05-19 12:54:15,511.0,1.0
2024-05-19 12:54:10,510.0,2.0
2024-05-19 12:54:05,511.0,1.0
2024-05-19 12:54:00,510.0,2.0
2024-05-19 12:53:55,511.0,1.0
2024-05-19 12:53:50,511.0,0.0
2024-05-19 12:53:45,511.0,1.0
2024-05-19 12:53:40,511.0,1.0
2024-05-19 12:53:35,511.0,0.0
2024-05-19 12:53:30,511.0,1.0
2024-05-19 12:53:25,511.0,1.0
2024-05-19 12:53:20,510.0,2.0
2024-05-19 12:53:15,511.0,0.0
2024-05-19 12:53:10,511.0,3.0
2024-05-19 12:53:05,510.0,2.0
2024-05-19 12:53:00,511.0,1.0
2024-05-19 12:52:55,511.0,1.0
2024-05-19 12:52:50,511.0,1.0
2024-05-19 12:52:45,511.0,0.0
2024-05-19 12:52:40,511.0,1.0
2024-05-19 12:52:35,511.0,1.0
2024-05-19 12:52:30,511.0,0.0
2024-05-19 12:52:25,511.0,1.0
2024-05-19 12:52:20,511.0,1.0
2024-05-19 12:52:15,511.0,1.0
2024-05-19 12:52:10,511.0,1.0
2024-05-19 12:52:05,511.0,1.0
2024-05-19 12:52:00,511.0,1.0
2024-05-19 12:51:55,511.0,0.0
2024-05-19 12:51:50,511.0,1.0
2024-05-19 12:51:45,511.0,1.0
2024-05-19 12:51:40,511.0,0.0
2024-05-19 12:51:35,511.0,1.0
2024-05-19 12:51:30,511.0,1.0
2024-05-19 12:51:25,511.0,0.0
2024-05-19 12:51:20,511.0,1.0
2024-05-19 12:51:15,511.0,1.0
2024-05-19 12:51:10,509.0,1.0
2024-05-19 12:51:05,511.0,2.0
2024-05-19 12:51:00,510.0,1.0
2024-05-19 12:50:55,510.0,17.0
2024-05-19 12:50:50,510.0,1.0
2024-05-19 12:50:45,510.0,2.0
2024-05-19 12:50:40,510.0,1.0
2024-05-19 12:50:35,510.0,0.0
2024-05-19 12:50:30,510.0,1.0
2024-05-19 12:50:25,510.0,1.0
2024-05-19 12:50:20,510.0,0.0
2024-05-19 12:50:15,510.0,1.0
2024-05-19 12:50:10,510.0,3.0
2024-05-19 12:50:05,510.0,1.0
2024-05-19 12:50:00,510.0,0.0
2024-05-19 12:49:55,510.0,2.0
2024-05-19 12:49:50,510.0,0.0
2024-05-19 12:49:45,510.0,1.0
2024-05-19 12:49:40,510.0,1.0
2024-05-19 12:49:35,510.0,1.0
2024-05-19 12:49:30,510.0,0.0
2024-05-19 12:49:25,510.0,1.0
2024-05-19 12:49:20,510.0,1.0
2024-05-19 12:49:15,510.0,0.0
2024-05-19 12:49:10,510.0,1.0
2024-05-19 12:49:05,510.0,1.0
2024-05-19 12:49:00,510.0,0.0
2024-05-19 12:48:55,510.0,1.0
2024-05-19 12:48:50,509.0,2.0
2024-05-19 12:48:45,510.0,1.0
2024-05-19 12:48:40,510.0,0.0
2024-05-19 12:48:35,510.0,1.0
2024-05-19 12:48:30,510.0,1.0
2024-05-19 12:48:25,510.0,0.0
2024-05-19 12:48:20,510.0,1.0
2024-05-19 12:48:15,510.0,1.0
2024-05-19 12:48:10,510.0,0.0
2024-05-19 12:48:05,510.0,1.0
2024-05-19 12:48:00,510.0,1.0
2024-05-19 12:47:55,510.0,0.0
2024-05-19 12:47:50,510.0,1.0
2024-05-19 12:47:45,510.0,1.0
2024-05-19 12:47:40,510.0,1.0
2024-05-19 12:47:35,510.0,0.0
2024-05-19 12:47:30,510.0,1.0
2024-05-19 12:47:25,510.0,2.0
2024-05-19 12:47:20,510.0,0.0
2024-05-19 12:47:15,510.0,1.0
2024-05-19 12:47:10,510.0,1.0
2024-05-19 12:47:05,510.0,0.0
2024-05-19 12:47:00,510.0,1.0
2024-05-19 12:46:55,510.0,1.0
2024-05-19 12:46:50,510.0,4.0
2024-05-19 12:46:45,510.0,34.0
2024-05-19 12:46:40,511.0,1.0
2024-05-19 12:46:35,511.0,0.0
2024-05-19 12:46:30,511.0,1.0
2024-05-19 12:46:25,511.0,1.0
2024-05-19 12:46:20,511.0,1.0
2024-05-19 12:46:15,511.0,0.0
2024-05-19 12:46:10,511.0,1.0
2024-05-19 12:46:05,511.0,1.0
2024-05-19 12:46:00,510.0,0.0
2024-05-19 12:45:55,510.0,5.0
2024-05-19 12:45:50,511.0,1.0
2024-05-19 12:45:45,511.0,0.0
2024-05-19 12:45:40,511.0,1.0
2024-05-19 12:45:35,511.0,1.0
2024-05-19 12:45:30,511.0,1.0
2024-05-19 12:45:25,511.0,0.0
2024-05-19 12:45:20,511.0,2.0
2024-05-19 12:45:15,511.0,1.0
2024-05-19 12:45:10,511.0,0.0
